id,Title,Locations
548,Looking,Sutro Baths  
549,Looking,Golden Gate Park
550,Looking,Market & Church St.
551,Looking,Willy's Barber Shop
552,Looking,Jawbone at 99 Rhode Island St. 
553,Looking,Urban Flowers
554,Looking,770 Haight St
555,Looking,Eros
556,Looking,Doc's Clock
557,Looking,Starbucks at 333 O'Farrell St.
558,Looking,Union Square
559,Looking,The Cafթ at 2369 Market St.
560,Looking,Bay Bridge
561,Looking,Treasure Island
562,Looking,The Fairmont
563,Looking,1890 Clay St.
564,Looking,2000 Folsom
565,Looking,Mission Arts Center
566,Looking,2413 Harrison St.
567,Looking,Muddy Waters Coffee House
568,Looking,Valencia St. from 16th to 17th
569,Looking,601 Buena Vista West
570,Looking,Dolores Park
571,Looking,Casa Lucas Market at 2934 24th St
572,Looking,Punjab
573,Looking,BART from Civic Center to 24th St.
574,Love & Taxes,The Marsh Theatre (1062 Valencia Street)
575,Love & Taxes,198 Gough Street
576,Love & Taxes,20 Hill Street
577,Magnum Force,San Francisco International Airport
578,Magnum Force,Cost Plus World Market (2552 Taylor Street)
579,Magnum Force,Vermont Street between 20th and 22nd Streets
580,Magnum Force,San Francisco Drydock (20th and Illinois Streets)
581,Magnum Force,"Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)"
582,Magnum Force,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"
583,Magnum Force,Hall of Justice (850 Bryant Street)
584,Magnum Force,Golden Gate Bridge
585,Magnum Force,"Fairmont Hotel (950 Mason Street, Nob Hill)"
586,Magnum Force,Embarcadero Freeway
587,Magnum Force,City Hall
588,Magnum Force,Broadway Tunnel (Russian Hill)
589,Magnum Force,280 Freeway at Pennsylvania and Mariposa Streets
590,Magnum Force,2190 Washington Street (Pacific Heights)
591,Magnum Force,18th Street Overpass (Potrero Hill)
592,Marnie,"On Board the SS President Cleveland, docked at Pier 50"
593,Maxie,"Asian Art Museum (200 Larkin Street, Civic Center)"
594,Maxie,"722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley)"
595,Maxie,Grace Cathedral Episcopal Church (1100 California Street)
596,Memoirs of an Invisible Man,St. Elizabeth Apartment House (901 Powell Street at Sacramento)
597,Metro,Bush Street at Jones
598,Midnight Lace,"Fairmont Hotel (950 Mason Street, Nob Hill)"
599,Milk,Treasure Island
600,Milk,Market & Castro Street
601,Milk,Marine Fireman's Union Headquarters
602,Milk,Lower Haight Street
603,Milk,Grace Cathedral Episcopal Church (1100 California Street)
604,Milk,City Hall
605,Milk,Chinatown
606,Milk,424 Sansome Street
607,Milk,29th and Delores Street
608,Milk,El Camino Del Mar
609,Milk,Golden Gate Bridge
610,Milk,Duboce Park
611,Mission (aka City of Bars),Mission Delores Park (Mission District)
612,Mission (aka City of Bars),"The 500 Club (500 Guerrero Street, Mission District)"
613,Mona Lisa Smile,
614,Mother,Golden Gate Bridge
615,Mother,"Fairmont Hotel (950 Mason Street, Nob Hill)"
616,Mrs. Doubtfire,Danilo's Bakery (Green Street & Bannam Place)
617,Mrs. Doubtfire,1200 Washington Street at Taylor Street
618,Mrs. Doubtfire,Hancock School (940 Filbert Street)
619,Mrs. Doubtfire,Chrissy Field
620,Mrs. Doubtfire,520-522A Green Street at Grant Street
621,Mrs. Doubtfire,516 Green Street
622,Mrs. Doubtfire,100 Embarcadero Street
623,Murder in the First,AT&T Park
624,Murder in the First,China Basin on Berry St
625,Murder in the First,Kearney St. from Broadway to Pacific
626,Murder in the First,Palace of Fine Arts
627,Murder in the First,Aquatic Park (Jefferson Street)
628,Murder in the First,Alcatraz Island
629,Murder in the First,Alamo Square
630,Murder in the First,1821 Alabama St. 
631,Murder in the First,Hall of Justice (850 Bryant Street)
632,Murder in the First,Cameron House 920 Sacramento St. 
633,Murder in the First,Naked Lunch
634,Murder in the First,9 Calhoun Terrace
635,Murder in the First,Pier 7
636,Murder in the First,Washington Square on Filbert & Stockton
637,My Reality,500 Club (500 Guerrero)
638,My Reality,Grant Avenue & Union Street
639,My Reality,Triton Hotel (342 Grant Street)
640,My Reality,Chouguet's (2500 Washington Street)
641,My Reality,3122 16th Street
642,My Reality,O'Farrell & Jones Streets
643,Need For Speed,Powell St. from Geary to Sacramento
644,Need For Speed,Embarcadero from Broadway to Folsom
645,Need For Speed,California St from Taylor to Powell
646,Need For Speed,Mason St from Pine to Sacramento
647,Never Die Twice,"Postcard Row (Alamo Square, Hayes Valley)"
648,Night of Henna,"Postcard Row (Alamo Square, Hayes Valley)"
649,Nina Takes a Lover,"Postcard Row (Alamo Square, Hayes Valley)"
650,Nine Months,Chrissy Field
651,Nine Months,The Malloch Apartment Building (1360 Montgomery Street)
652,Nine Months,Wasteland Store (1600 Haight Street)
653,Nine Months,Star's Cafթ (55 Golden Gate Avenue at Van Ness)
654,Nine Months,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
655,Nine Months,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"
656,Nine Months,Pierce Street between Pacific & Green Streets
657,Nine Months,Montgomery & Vallejo Streets
658,Nine Months,Marathon Plaza (303 2nd Street)
659,Nine Months,Jones Street at Bush
660,Nine Months,Jack Kerouac Alley between Columbus & Grant Streets
661,Nine Months,Belli Building (722 Montgomery Street at Washington)
662,Nine Months,Alamo Square
663,Nine Months,60 Spear Street
664,Nine Months,"101 Henry Adams Place, 4th Floor"
665,Nine to Five,Albert S. Samuels Clock (856 Market Street between Powell and Stockton)
666,Nora Prentiss,Belgravia Apartments (795 Sutter Street at Jones)
667,On the Beach,Belgravia Apartments (795 Sutter Street at Jones)
668,On the Road,Filbert & Leavenworth Streets
669,On the Road,2017 23rd Street
670,On the Road,Sacramento & Montgomery Streets
671,On the Road,Bay Bridge
672,Pacific Heights,Financial District
673,Pacific Heights,Texas & 19th Streets (Potrero Hill)
674,Pacific Heights,Chinatown
675,Pal Joey,"Spreckles Mansion (2080 Washington Street, Pacific Heights)"
676,Pal Joey,Barbary Coast
677,Pal Joey,Coit Tower
678,Panther,Hyatt Fisherman's Wharf (555 Northpoint Street)
679,Parks and Recreation,Larkin & Fulton
680,Parks and Recreation,Fibert from Hyde to Leavenworth
681,Parks and Recreation,Columbus and Green
682,Parks and Recreation,Embarcadero & Market
683,Patch Adams,Treasure Island
684,Patch Adams,Presidio (Golden Gate National Recreation Area)
685,Patch Adams,Sheraton Palace Hotel (639 Market Street)
686,Patty Hearst,"Postcard Row (Alamo Square, Hayes Valley)"
687,Patty Hearst,Bank of America (38th Street at Balboa Street)
688,Petulia,307 Filbert Street
689,Petulia,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park"
690,Petulia,"Fairmont Hotel (950 Mason Street, Nob Hill)"
691,Petulia,Pier 43 1/2
692,Petulia,Cala Foods (California Street and Hyde)
693,Petulia,2417 Franklin Street
694,Petulia,"Fort Point (Presidio, Golden Gate National Recreation Area)"
695,Phenomenon,Treasure Island
696,Playing Mona Lisa,Conservatory of Flowers (Golden Gate Park)
697,"Play it Again, Sam",15-17 Fresno Street
698,"Play it Again, Sam",Hyde Street Cable Car
699,"Play it Again, Sam",Aquatic Park (Jefferson Street)
700,"Play it Again, Sam",Balboa at 22nd Avenue
701,"Play it Again, Sam","The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)"
702,"Play it Again, Sam",Surf Theater (4520 Irving Street)
703,Pleasure of His Company,Grace Cathedral Episcopal Church (1100 California Street)
704,Pleasure of His Company,2700 Vallejo Street (Pacific Heights)
705,Point Blank,Alcatraz Island
706,Point Blank,"Fort Point (Presidio, Golden Gate National Recreation Area)"
707,Pretty Woman,Alcatraz Island
708,Psych-Out,Alcatraz Island
709,Quicksilver,Pacific Stock Exchange
710,Quitters,923 Vermont St.
711,Quitters,Bechelli's Flower Market Cafթ
712,Quitters,Geary from 22nd Ave to Arguello
713,Quitters,1536 Noe St.
714,Quitters,24 Hill St.
715,Quitters,21st St & Sanchez
716,Quitters,4015 21st St
717,Quitters,Tank Hill Park
718,Quitters,Clement St. from 6th to 7th Ave. 
719,Quitters,Wine Impression
720,Quitters,Clement St. from 5th and 7th Ave. 
721,Quitters,Claire Lilienthal Elementary School
722,Quitters,Yerba Buena Gardens
723,Quitters,Tonga Room
724,Quitters,Cal-Mart Supermarket
725,Quitters,McLaren Lodge
726,Raising Cain,Alcatraz Island
727,Red Diaper Baby,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)"
728,Red Widow,Vallejo Street Garage
729,Red Widow,York & 24th St.
730,Red Widow,2nd St & Howard
731,Red Widow,Montgomery & Market Streets
732,Red Widow,Broadway & Taylor
733,Red Widow,Mason & Sacramento St
734,Red Widow,Geary & 27th Ave
735,Red Widow,Geary & 20th Ave
736,Red Widow,Pioneer Park at Coit Tower
737,Red Widow,California & Davis St
738,Red Widow,Golden Gate Ave & Jones
739,Rent,Treasure Island
740,Rollerball,Alcatraz Island
741,Romeo Must Die,Chinatown
742,Romeo Must Die,Embarcadero Street
743,San Andreas,2nd St. at Townsend St.
744,San Andreas,Jefferson St. at Powell St.
745,San Andreas,Grant St. at Bush St.
746,San Andreas,Vallejo Garage Roof (Vallejo at Powell)
747,San Andreas,Clay St. at Taylor
748,San Andreas,Bay St. at Polk
749,San Andreas,Intersection of Lombard and Hyde
750,San Andreas,Mission between 3rd and 4th St.
751,San Andreas,555 California
752,San Andreas,Broadway and Kearney
753,San Andreas,AT&T Stadium
754,San Andreas,AT&T Stadium
755,San Andreas,Grant between Bush and Market
756,San Andreas,Coit Tower
757,San Andreas,TransAmerica Pyramid (600 Montgomery Street)
758,San Andreas,Washington Square
759,San Andreas,Hyde St. at Greenwich and Hyde St. at Lombard
760,San Andreas,"Stage Work, 47 Julian St."
761,San Andreas,"Asia Star Fantasy, 1126 Grant Ave."
762,San Andreas,Pier 43
763,San Andreas,Battery Spencer
764,San Andreas,Water work in SF Bay
765,San Andreas,"Vallejo St. Garage, 766 Vallejo St."
766,San Andreas,Fort Baker
767,San Francisco,The Barbary Coast
768,San Francisco,City Hall
769,Sausalito,The Castro
770,Sense8,"""Metzger's Apt"" 151 Alice B. Toklas Pl."
771,Sense8,Van Ness and 12th St.
772,Sense8,Palace of Fine Arts: 3306 Lyon St.
773,Sense8,"Dolores Park, 20th St. between Church & Dolores St."
774,Sense8,18th Street between Guerrero and Valencia Streets
775,Sense8,"Atlas Cafթ, 3049 20th St."
776,Sense8,Clairon Alley between Valencia & Mission St.
777,Sense8,Harrison & 20th
778,Sense8,Folsom
779,Sense8,16th St.
780,Sense8,S. Van Ness
781,Sense8,22nd St.
782,Sense8,Harrison
783,Sense8,20th
784,Sense8,Z Space Studios; 450 Florida St.
785,Sense8,375 Castro St. and 17th between Castro and Diamond St.
786,Sense8,Corbett St.
787,Sense8,Romain St.
788,Sense8,Market St. overpass
789,Sense8,Grand View Ave.
790,Sense8,Vallejo Street Garage; 766 Vallejo St.
791,Sense8,Laguna Honda Hospital; 375 Laguna Honda Blvd.
792,Sense8,Irving St. at 9th Ave.
793,Serendipity,Irving St. at 9th Ave.
794,Serial,Ferry Building
795,Seven Girlfriends,Golden Gate Bridge
796,Shadow of the Thin Man,Bay Bridge
797,Shattered,Bay Bridge
798,Shoot the Moon,"Fairmont Hotel (950 Mason Street, Nob Hill)"
799,Sister Act,"St. Paul's Church (Church Street, Noe Valley)"
800,Sister Act 2: Back in the Habit,Coit Tower
801,Sister Act 2: Back in the Habit,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
802,Sister Act 2: Back in the Habit,"Maritime Museum, Building 201 (Fort Mason)"
803,Sister Act 2: Back in the Habit,CCSF Alemany Campus 
804,Sister Act 2: Back in the Habit,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)"
805,"Smile Again, Jenny Lee",Europa Cafթ (4318 California St. and 5th Ave.)
806,"Smile Again, Jenny Lee",New Taraval Cafթ (1054 Taraval St.)
807,"Smile Again, Jenny Lee",Ocean Beach Motel (2690 46th Ave.)
808,"Smile Again, Jenny Lee",Kansas St at 17th St.
809,"Smile Again, Jenny Lee",City Hall 
810,"Smile Again, Jenny Lee",Manor West (750 Harrison St.)
811,"Smile Again, Jenny Lee",475 Diamond St.
812,"Smile Again, Jenny Lee",Hyatt Hotel (555 North Point St.)
813,"Smile Again, Jenny Lee","Fairmont Hotel (950 Mason Street, Nob Hill)"
814,"Smile Again, Jenny Lee",411 Shrader St.
815,"Smile Again, Jenny Lee",883 42nd Ave.
816,"Smile Again, Jenny Lee",Mason & Sacramento St
817,"Smile Again, Jenny Lee",Unitarian Church (1187 Franklin St.)
818,"Smile Again, Jenny Lee","Huntington Park (California & Taylor Streets, Nob Hill)"
819,"Smile Again, Jenny Lee",E Tutto Qua Restaurant (270 Columbus St.)
820,"Smile Again, Jenny Lee",1328 Portola
821,"Smile Again, Jenny Lee",Clay St. at Sansome
822,"Smile Again, Jenny Lee",Montgomery Street at Post Street
823,"Smile Again, Jenny Lee",333 Pacheco St at Lopez Ave.
824,"Smile Again, Jenny Lee",Mission Inn (5630 Mission St)
825,"Smile Again, Jenny Lee",87 Cervantes Blvd (beach)
826,"Smile Again, Jenny Lee",Gaspare's Pizza House (5546 Geary Blvd.)
827,"Smile Again, Jenny Lee",510 Noe Street & 18th St.
828,"Smile Again, Jenny Lee",Greenwich St at Battery St
829,"Smile Again, Jenny Lee",2100 Pacific Ave at Laguna St
830,Sneakers,The Embarcadero
831,Sneakers,Hills Brothers Plaza (The Embarcadero at Harrison)
832,So I Married an Axe Murderer,Edinburgh Castle (950 Geary Street)
833,So I Married an Axe Murderer,Vesuvio Cafթ (255 Columbus Avenue)
834,So I Married an Axe Murderer,Swedenborgian Church (2107 Lyon Street)
835,So I Married an Axe Murderer,St. John's Presbyterian Church (25 Lake Street)
836,So I Married an Axe Murderer,San Francisco Chronicle (901 Mission Street at 15th Street)
837,So I Married an Axe Murderer,Rocco's Corner (Columbus Street)
838,So I Married an Axe Murderer,Prudente's Italian Deli (1462 Grant Ave at Union)
839,So I Married an Axe Murderer,Fog City Diner (1300 Battery Street)
840,So I Married an Axe Murderer,City Light Bookstore (261 Columbus Avenue)
841,So I Married an Axe Murderer,Cafթ Picaro 3120 16th Street
842,So I Married an Axe Murderer,Alcatraz Island
843,So I Married an Axe Murderer,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)"
844,So I Married an Axe Murderer,305 Hugo Street
845,So I Married an Axe Murderer,"1462 Grant Avenue, at Union Street"
846,Sphere,S.S. Jeremiah O'Brien
847,Star Trek II : The Wrath of Khan,Golden Gate Park
848,Star Trek IV: The Voyage Home,"Bessie Charmichael Elementary School (375 Seventh Street, SOMA)"
849,Star Trek IV: The Voyage Home,500 Block of Pacific Avenue (Chinatown)
850,Star Trek IV: The Voyage Home,Intersection of Columbus & Kearney Streets
851,Star Trek IV: The Voyage Home,Golden Gate Bridge
852,Star Trek IV: The Voyage Home,Golden Gate Park
853,Star Trek IV: The Voyage Home,"West Harbor, Marina District"
854,Star Trek IV: The Voyage Home,North Beach
855,Star Trek IV: The Voyage Home,"Marina Green, Marina District"
856,Star Trek IV: The Voyage Home,Kearny & Pacific Streets
857,Star Trek IV: The Voyage Home,Intersection of Grant & Fresno Streets (North Beach)
858,Star Trek IV: The Voyage Home,Intersection of Columbus & Mason Streets
859,Star Trek VI: The Undiscovered Country,Golden Gate Bridge
860,Steve Jobs,Intersection of Clay St. and Walter U Lum Plc
861,Steve Jobs,21st and Sanchez St
862,Steve Jobs,Castro St. between 21st an Hill St
863,Steve Jobs,Mission St and 5th St
864,Steve Jobs,21st and Collingswood St.
865,Steve Jobs,War Memorial Opera House (401 Van Ness Avenue)
866,Steve Jobs,Davies Symphony Hall (201 Van Ness Ave.)
867,Steve Jobs,Sutter-Stockton Garage (444  Stockton)
868,Steve Jobs,California St. from Jones St. to Mason St.
869,Steve Jobs,Powell St. from California St. to Sutter St.
870,Steve Jobs,Jackson St. from Mason St. to Powell St.
871,Steve Jobs,Intersection of Columbus and Kearny
872,Stigmata,19th and Kansas St.
873,Street Music,19th and Kansas St.
874,Sudden Fear,The Tamalpias Building (1201 Greenwich Street at Hyde)
875,Sudden Fear,Brocklebank Apartments (1000 Mason Street)
876,Sudden Fear,2800 Scott Street
877,Sudden Fear,Lombard Street
878,Sudden Impact,Mt. Davidson
879,Sudden Impact,"Near Point Lobos, El Camino Del Mar "
880,Sudden Impact,"McDonald's Restaurant (701 3rd Street, SOMA)"
881,Sudden Impact,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"
882,Sudden Impact,Hall of Justice (850 Bryant Street)
883,Sudden Impact,Ferry Plaza
884,Sudden Impact,"Fairmont Hotel (950 Mason Street, Nob Hill)"
885,Sudden Impact,Civic Center Plaza
886,Sudden Impact,The Embarcadero/Ferry Building
887,Sudden Impact,"Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf)"
888,Sudden Impact,"Pier 38-40, The Embarcadero"
889,Summertime,Duboce Park
890,Summertime,Fisherman's Wharf pier near Chapel (Port Walk #19)
891,Summertime,Chinatown (Stockton @ Jackson & Jackson toward Grant
892,Summertime,Montgomery between California and Pine
893,Summertime,Oasis Nightclub (298 11th St)
894,Summertime,Broadway and Taylor St Intersection
895,Summertime,Turk St between Lyon and Baker St
896,Summertime,Buena Vista East & Duboce; Buena Vista East & Haight
897,Summertime,Love Street Vintage (1506 Haight & adjacent Haight sidewalk_
898,Summertime,Alamo Square 
899,Summertime,Stanyan & Belgrave
900,Summertime,Sansome (Washington to Bush) Pine (Davis to Kearny) Bush: Kearny to Battery
901,Summertime,53 Potomac St
902,Summertime,20th St and Church (3885 20th St)
903,Superman,Golden Gate Bridge
904,Susan Slade,"On Board the SS President Cleveland, docked at Pier 50"
905,Sweet November,Chrissy Field
906,Sweet November,Mission Dolores Park (Mission District)
907,Sweet November,Marquee Lofts (1000 Van Ness Avenue at Alice B. Tolkas Place)
908,Sweet November,Hotel Majestic (1500 Sutter Street)
909,Sweet November,"Foote, Cone & Belding (733 Front Street at Pacific)"
910,Sweet November,Farley's Cafթ (1315 18th Street Near Missouri)
911,Sweet November,Citicorp Center (1 Sansome Street at Sutter) 
912,Sweet November,Christopher's Books (1400 18th Street)
913,Sweet November,Blooms Saloon (18th Street between Missouri and Texas Streets)
914,Swing,Regency Building (1290 Sutter Street)
915,Swing,Broadway Studios (435 Broadway at Montgomery Street)
916,Swingin' Along,Powell Street
917,Take the Money and Run,Bank of America (1455 Stockton Street)
918,Take the Money and Run,Golden Gate Park
919,Take the Money and Run,Mission Street
920,Terminator - Genisys,Pine St. between Market and Kearny
921,Terminator - Genisys,16th and Utah
922,Terminator - Genisys,Van Ness between Fell and Lombard
923,Terminator - Genisys,California between Leavensworth and Powell
924,Terminator - Genisys,Mission at 1st and 2nd
925,Terminator - Genisys,Market at Mason
926,Terminator - Genisys,California at Larkin
927,Terminator - Genisys,Califorinia at Jones
928,Terminator - Genisys,Pine and Leavensworth
929,Terminator - Genisys,Howard St. from Embarcadero to 11 St.
930,Terminator - Genisys,Construction Site in front of 260 Stockton St. at Post St.
931,Terminator - Genisys,California St. between Drumm St. and Kearny St.
932,Terminator - Genisys,Market St. at Embarcadero area
933,Terminator - Genisys,Front St. between Market and Clay
934,Terminator - Genisys,Union Square
935,Terminator - Genisys,San Francisco - Oakland Bay Bridge
936,Terminator - Genisys,"Mission St., Embarcadero, and Front between Clay and Market"
937,Terminator - Genisys,Sutter Stockton Garage
938,Terminator - Genisys,Bush St. at Stockton St.
939,Terminator - Genisys,Powell St at Geary St
940,Terminator - Genisys,1 Market St. Landmark Building
941,Terminator - Genisys,Embarcadero between Pier 2 and Harrison
942,Terminator - Genisys,Pier 14
943,Terminator - Genisys,Pine St. between Market and Montgomery
944,The Assassination of Richard Nixon,766 Sutter Street
945,The Assassination of Richard Nixon,"Tosca Cafթ (242 Columbus Avenue, North Beach)"
946,The Bachelor,Sutter-Stockton Garage (330 Sutter Street at Stockton)
947,The Bachelor,Stockton Tunnel (Stockton Street at Sutter Street)
948,The Bachelor,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
949,The Bachelor,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
950,The Bachelor,Roof of Cable Car (California at Front Street)
951,The Bachelor,Pacific Stock Exchange (301 Pine Street at Sansome)
952,The Bachelor,Nina M. Designs (52 2nd Street at Jessie)
953,The Bachelor,Moose's Restaurant (1652 Stockton)
954,The Bachelor,Mama's Restaurant (1701 Stockton)
955,The Bachelor,Danilo's Bakery (Green Street & Bannam Place)
956,The Bachelor,Columbus Avenue at Green & Stockton
957,The Bachelor,Washington Square Park (North Beach)
958,The Bachelor,Merchant Exchange (465 California Street at Leidesdortt)
959,The Birds,Powell and Geary Streets (Union Square)
960,The Bridge,Golden Gate Bridge
961,The Caine Mutiny,The Embarcadero
962,The Caine Mutiny,Golden Gate Bridge
963,The Californians,Golden Gate Bridge
964,The Candidate,"Westin St. Francis Hotel (335 Powell Street, Union Square)"
965,The Competition,Pier 39
966,The Competition,California Academy of Sciences (Golden Gate Park)
967,The Conversation,Alta Plaza Park (Steiner Street)
968,The Conversation,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)"
969,The Conversation,Alcoa Building (1 Maritime Plaza)
970,The Conversation,Alamo Square (Hayes Valley)
971,The Conversation,"Westin St. Francis Hotel (335 Powell Street, Union Square)"
972,The Conversation,Union Square
973,The Conversation,"Saks Fifth Avenue (384 Post Street, Union Square)"
974,The Conversation,One Embarcadero Center (Financial District)
975,The Conversation,"Neiman Marcus (150 Stockton Street, Union Square)"
976,The Conversation,Financial District
977,The Conversation,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)"
978,The Core,Golden Gate Bridge
979,The Dead Pool,San Francisco Drydock (The Dogpatch)
980,The Dead Pool,Washington Square Park (North Beach)
981,The Dead Pool,One Thousand Powell Apartments (1000 Powell Street)
982,The Dead Pool,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)"
983,The Dead Pool,Posrtsmouth Square (Chinatown)
984,The Dead Pool,Pierce St. & Golden Gate Avenue (Hayes Valley)
985,The Dead Pool,Pierce & California Streets (Pacific Heights)
986,The Dead Pool,Pier 3 (The Embarcadero)
987,The Dead Pool,New Asia Restaurant (772 Pacific Avenue at Grant)
988,The Dead Pool,"Nam Yuen Restaurant (740 Washington Street, Chinatown)"
989,The Dead Pool,"Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)"
990,The Dead Pool,McAllister & Scott Streets (Hayes Valley)
991,The Dead Pool,"KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District)"
992,The Dead Pool,Hall of Justice (850 Bryant Street)
993,The Dead Pool,"San Francisco National Military Cemetary (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)"
994,The Dead Pool,"Silver Restaurant (737 Washington Street, Chinatown)"
995,The Dead Pool,Fremont Street Exit of Bay Bridge
996,The Dead Pool,Folsom & Essex Streets
997,The Dead Pool,"Eber Electronics (2355 Market Street, Castro)"
998,The Dead Pool,Clementina & Sumner Streets
999,The Dead Pool,Carl & Cole Streets (Cole Valley)
1000,The Dead Pool,710 Steiner Street (Hayes Valley)
1001,The Dead Pool,550 El Camino Del Mar (Seacliff)
1002,The Dead Pool,23rd & Iowa Streets (Dogpatch)
1003,The Dead Pool,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill)
1004,The Dead Pool,22nd & Wisconsin Streets (Potrero Hill)
1005,The Dead Pool,20th & DeHaro Streets (Potrero Hill)
1006,The Dead Pool,1954 Mason Street (North Beach)
1007,The Dead Pool,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"
1008,The Diary of a Teenage Girl,Tank Hill Park
1009,The Diary of a Teenage Girl,Victoria Theatre
1010,The Diary of a Teenage Girl,SPECS' Twelve Adler Museum Cafթ
1011,The Diary of a Teenage Girl,Ocean Beach at Point Lobos
1012,The Diary of a Teenage Girl,700 Kansas St.
1013,The Diary of a Teenage Girl,Presidio Branch Library
1014,The Diary of a Teenage Girl,The Royal Oak
1015,The Diary of a Teenage Girl,Tonic
1016,The Diary of a Teenage Girl,Polk and Northpoint St.
1017,The Diary of a Teenage Girl,770 Haight St.
1018,The Diary of a Teenage Girl,Hamburger Haven
1019,The Diary of a Teenage Girl,Higher Grounds Coffee House
1020,The Diary of a Teenage Girl,304 Lily St.
1021,The Diary of a Teenage Girl,The Magazine at 920 Larkin
1022,The Diary of a Teenage Girl,Geary St. from Polk to Larkin
1023,The Diary of a Teenage Girl,Yerba Buena Island
1024,The Doctor,Yerba Buena Island
1025,The Doors,Yerba Buena Island
1026,The Enforcer,Sutter & Webster Streets
1027,The Enforcer,Hall of Justice
1028,The Enforcer,Coit Tower
1029,The Enforcer,City Hall
1030,The Enforcer,Balmy Street (Mission District)
1031,The Enforcer,Alcatraz Island
1032,The Enforcer,24th Street Mini Park (Mission District)
1033,The Enforcer,23rd & Capp Streets (Mission District)
1034,The Enforcer,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"
1035,The Fan,Candlestick Park (602 Jamestown Ave.)
1036,The Fog of War,Candlestick Park (602 Jamestown Ave.)
1037,The Game,Merchant Exchange Building (465 California Street)
1038,The Game,Washington Street & Waverly Place (Chinatown)
1039,The Game,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)"
1040,The Game,Sheraton Palace Hotel (639 Market Street)
1041,The Game,Ritz-Carlton Hotel (600 Stockton Street)
1042,The Game,Presidio (Golden Gate National Recreation Area)
1043,The Game,Merchant Exchange Building
1044,The Game,Mason & California Streets (Nob Hill)
1045,The Game,Harrison Street (The Embarcadero)
1046,The Game,City Club (155 Sansome Street)
1047,The Game,Bay Bridge
1048,The Game,Bank of America Building (555 California Street)
1049,The Game,301 Howard Street
1050,The Game,1 Bush Street
1051,The Graduate,San Francisco Zoo (2701 Sloat Blvd.)
1052,The Graduate,Bay Bridge
1053,The House on Telegraph Hill,Telegraph Hill
1054,The House on Telegraph Hill,Market Street
1055,The House on Telegraph Hill,Coit Tower
1056,The House on Telegraph Hill,1227 Montgomery Street
1057,The Internship,Grant Ave from Sacramento to Clay
1058,The Internship,Montgomery and Union St.
1059,The Internship,Epic Roasthouse
1060,The Internship,Players Arcade at Pier 39
1061,The Jazz Singer,Coffee Dan's (O'Farrell Street at Powell)
1062,The Lady from Shanghai,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
1063,The Lady from Shanghai,Mandarin Theatre (1021 Grant Avenue)
1064,The Lady from Shanghai,Golden Gate Park
1065,The Lady from Shanghai,Fomer Hall of Justice (750 Kearny Street at Washington)
1066,The Last of the Gladiators,Golden Gate Park
1067,The Laughing Policeman,Golden Gate Park
1068,The Lineup,War Memorial Opera House (401 Van Ness Avenue)
1069,The Lineup,The Embarcadero
1070,The Lineup,Sutro Baths (Point Lobos Avenue)
1071,The Lineup,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
1072,The Lineup,Pier 41
1073,The Lineup,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"
1074,The Lineup,2090 Jackson Street
1075,The Love Bug,Golden Gate Bridge
1076,The Love Bug,100 Block of Lombard Street
1077,The Maltese Falcon,Golden Gate Bridge
1078,The Maltese Falcon,Ferry Building
1079,The Maltese Falcon,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)"
1080,The Master,Pier 7/ Embarcadero
1081,The Matrix,skyline/ exterior scenes
1082,The Net,Moscone Convention Center
1083,The Net,Montgomery & Market Streets
1084,The Nightmare Before Christmas,Moscone Convention Center
1085,The Organization,Montgomery & Market Streets
1086,The Other Sister,Transbay Terminal (Mission Street at 1st Street)
